Frame,x1,y1,x2,y2,bbox_conf,0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,id
0,0.5564136028289794,0.5546147240532769,0.6100437641143799,0.8027994791666667,0.99843305,0.5798203468322753,0.5805481380886501,0.5702771186828614,0.5757007598876953,0.5811837196350098,0.5732770707872179,0.5689138412475586,0.5781244489881727,0.5811837196350098,0.5781244489881727,0.5620972633361816,0.6072085486518012,0.586637020111084,0.6047849443223742,0.5634605407714843,0.6338690439860026,0.6057234764099121,0.6193269941541883,0.5907269477844238,0.6072085486518012,0.5989068984985352,0.6047849443223742,0.5689138412475586,0.6774952782524957,0.5852736473083496,0.6799189673529731,0.5716404914855957,0.7259688483344184,0.5880002975463867,0.7283925374348958,0.5716404914855957,0.7695950826009115,0.586637020111084,0.7768660651312934,1
0,0.4681196212768554,0.3756757100423177,0.5097256183624268,0.5604262034098307,0.9976476,0.4975489616394043,0.396784930759006,0.4995786666870117,0.3931764814588758,0.4955192565917968,0.3931764814588758,0.5005935668945313,0.396784930759006,0.4904448986053467,0.3913722991943359,0.5005935668945313,0.4184353722466363,0.483340835571289,0.4112185584174262,0.5056678771972656,0.4436942206488715,0.4731922149658203,0.4382815890842014,0.5087124824523925,0.4671488867865668,0.4782665252685547,0.4671488867865668,0.4884151935577392,0.4617362552218967,0.4762368202209472,0.4599320729573568,0.4843557357788086,0.497820324367947,0.4843557357788086,0.497820324367947,0.477251672744751,0.5266875796847873,0.4843557357788086,0.5447296566433377,2
1,0.5562047481536865,0.5541902754041884,0.6101357460021972,0.802591535780165,0.99838483,0.5797589302062989,0.5801462809244792,0.5702073574066162,0.5752946641710069,0.5811234474182129,0.5728688557942708,0.568842887878418,0.5777204725477431,0.5811234474182129,0.5777204725477431,0.5620203018188477,0.6068300035264756,0.5865814685821533,0.6044041951497395,0.5647493362426758,0.6335137261284722,0.6056846141815185,0.6189589606391059,0.5906750202178955,0.6068300035264756,0.5988620758056641,0.6044041951497395,0.568842887878418,0.6796038309733073,0.5852169513702392,0.6796038309733073,0.5715718746185303,0.725693851047092,0.5879459857940674,0.7281196594238282,0.5715718746185303,0.7693581475151909,0.5865814685821533,0.7766355726453993,1
1,0.4680817127227783,0.3756062401665581,0.5101629257202148,0.5590771145290798,0.9976762,0.4966810226440429,0.3983609517415364,0.4997045516967773,0.3929858313666449,0.4956732273101806,0.3929858313666449,0.5007123947143555,0.3965692308213975,0.49063401222229,0.3911941104465061,0.5007123947143555,0.4180697547064887,0.4825713634490967,0.4109029134114583,0.5067594051361084,0.4431536356608073,0.4724929809570312,0.4395702362060547,0.5097828865051269,0.468237559000651,0.4785399913787841,0.4664458380805121,0.4886183738708496,0.4610707177056206,0.4765243053436279,0.4610707177056206,0.4845870018005371,0.4969048817952474,0.4845870018005371,0.4969048817952474,0.4765243053436279,0.5255722045898438,0.4845870018005371,0.545281007554796,2
2,0.5562172412872315,0.5541415744357638,0.6101915836334229,0.8025633917914496,0.9984218,0.5797928810119629,0.5800997416178385,0.5702405452728272,0.5752477857801649,0.5811574935913086,0.5728217230902778,0.5688758850097656,0.5776737636990017,0.5811574935913086,0.5776737636990017,0.5620527744293213,0.6067856682671441,0.5866159915924072,0.6043596903483073,0.5647820472717285,0.6334715949164497,0.6057207107543945,0.6189156426323785,0.5907098293304444,0.6067856682671441,0.5988976001739502,0.6043596903483073,0.5688758850097656,0.6771395365397136,0.5852513790130616,0.6795655144585504,0.5716051578521728,0.7256593492296007,0.5879806041717529,0.7280854119194878,0.5716051578521728,0.7693272908528646,0.5866159915924072,0.776605224609375,1
2,0.4681148529052734,0.3756682925754123,0.5101481914520264,0.5595610724555121,0.9976736,0.4967077255249023,0.3966794331868489,0.4997381210327148,0.3930877685546875,0.4956974983215332,0.3930877685546875,0.5007483482360839,0.3966794331868489,0.4906467437744141,0.3912919786241319,0.5007483482360839,0.4182294209798177,0.4825655937194824,0.4110460917154948,0.5068092346191406,0.4433709886338975,0.4724639892578125,0.4379835340711805,0.5098397254943847,0.4685125562879774,0.4785249710083007,0.4667167663574219,0.488626480102539,0.4613292270236545,0.4765046119689941,0.4613292270236545,0.4845858573913574,0.4972457885742187,0.4845858573913574,0.4972457885742187,0.4775147438049316,0.5259791056315104,0.4845858573913574,0.5457331339518229,2
3,0.5562695980072021,0.5541636149088541,0.6100709915161133,0.8025062561035157,0.9983902,0.5797598838806153,0.58011351691352,0.5702105522155761,0.5752630869547526,0.5811240196228027,0.5728377872043185,0.568846321105957,0.5776883019341363,0.5811240196228027,0.5776883019341363,0.5620254516601563,0.6067909664577908,0.586580753326416,0.6043656667073568,0.5633895874023438,0.6334683312310113,0.6056794166564942,0.6189170413547092,0.5906733512878418,0.6067909664577908,0.5988584518432617,0.6043656667073568,0.568846321105957,0.6771223704020183,0.5852166175842285,0.6795475853814019,0.5715746879577637,0.725626712375217,0.5879449844360352,0.7280519273546007,0.5715746879577637,0.7692806667751736,0.586580753326416,0.7765563117133246,1
3,0.4667270183563232,0.3721192253960503,0.5128028392791748,0.5642205556233724,0.9976751,0.4976792335510254,0.3978202819824218,0.4997897148132324,0.3940683152940538,0.4955687522888183,0.3921923319498698,0.5008449554443359,0.3959442986382378,0.4902925491333008,0.3921923319498698,0.5008449554443359,0.4184561835394965,0.4829058647155761,0.4109522501627604,0.5061212539672851,0.4447200351291233,0.4723533630371094,0.4390920850965711,0.5092869758605957,0.469107903374566,0.4786849021911621,0.4672319200303819,0.4881820678710937,0.4616039699978299,0.4765744209289551,0.4616039699978299,0.4850163459777832,0.4991237216525607,0.4839611053466797,0.4972477383083767,0.4776296615600586,0.5253875732421875,0.4850163459777832,0.5460234747992622,2
4,0.5563029289245606,0.5542780134412978,0.6101876735687256,0.8024609035915798,0.9983972,0.578473711013794,0.5802112155490451,0.5702938556671142,0.5753638373480903,0.5812003135681152,0.5729402330186631,0.5689305305480957,0.5777875264485677,0.5812003135681152,0.5777875264485677,0.5621140003204346,0.6068714565700954,0.5866535663604736,0.604447767469618,0.5634772777557373,0.6335317823621962,0.6057398796081543,0.6189898173014323,0.5907434940338134,0.6068714565700954,0.5989233493804932,0.604447767469618,0.5689305305480957,0.6771576775444879,0.5852902412414551,0.679581281873915,0.5716571807861328,0.725630866156684,0.5880168914794922,0.7280545552571615,0.5716571807861328,0.7692567613389757,0.5866535663604736,0.7765277438693576,1
4,0.466393232345581,0.372127448187934,0.5124066829681396,0.5634374406602648,0.9972792,0.4972816467285156,0.3977225833468967,0.4993834495544433,0.393986087375217,0.4951798915863037,0.3921178181966145,0.5014852523803711,0.3958543141682942,0.4899253845214844,0.3921178181966145,0.5014852523803711,0.418273459540473,0.4825691223144531,0.4108004252115885,0.5067397594451905,0.4444291432698568,0.4720601558685303,0.4369561089409722,0.5098924160003662,0.4668482886420356,0.4783655166625976,0.4649800194634331,0.4888744831085205,0.4631117502848307,0.4773146152496338,0.4631117502848307,0.4846709251403808,0.4986087375217014,0.4846709251403808,0.4986087375217014,0.4773146152496338,0.5247643788655599,0.4846709251403808,0.5453152550591363,2
